"","SPECIES","REGION","DISTRICT","YEAR","A_EST","A_SE","B_EST","B_SE"
"51","TANNER","EBS","E166",2007,0.07378422,0.006153113,112.91844,1.2834542
"52","TANNER","EBS","E166",2008,0.0659495,0.010361757,101.12783,2.7051674
"53","TANNER","EBS","E166",2009,0.07013928,0.008284626,107.30017,1.9123301
"54","TANNER","EBS","E166",2010,0.05552672,0.010637599,111.70511,3.9109063
"55","TANNER","EBS","E166",2012,0.06293971,0.00963558,111.11272,2.7608294
"56","TANNER","EBS","E166",2014,0.07494639,0.011688053,112.20547,2.3630179
"57","TANNER","EBS","E166",2016,0.1882633,0.013883562,107.97427,0.4494301
"58","TANNER","EBS","E166",2017,0.07184778,0.00823571,118.35873,1.8113204
"59","TANNER","EBS","E166",2018,0.17414988,0.02442164,105.06574,0.896707
"60","TANNER","EBS","E166",2019,0.08933481,0.008543137,119.10734,1.2157261
"61","TANNER","EBS","E166",2021,0.11592671,0.007406836,110.68385,0.6260943
"62","TANNER","EBS","E166",2022,0.07468558,0.005789445,106.7998,1.1787155
"63","TANNER","EBS","E166",2023,0.09009265,0.010921465,101.08176,1.5281819
"64","TANNER","EBS","E166",2024,0.09320317,0.007319089,103.12078,0.9568991
"65","TANNER","EBS","E166",2025,0.06763286,0.007391858,104.84755,1.8349928
"66","TANNER","EBS","W166",1990,0.07242433,0.005386361,94.29234,1.1661731
"67","TANNER","EBS","W166",1991,0.06891557,0.008343127,100.5997,1.9948671
"68","TANNER","EBS","W166",1992,0.11069503,0.008159738,104.11112,0.7562115
"69","TANNER","EBS","W166",1993,0.07222026,0.006275929,91.8584,1.3664273
"70","TANNER","EBS","W166",1994,0.08374206,0.011848004,94.72301,1.9187794
"71","TANNER","EBS","W166",1995,0.07998872,0.008945111,91.87681,1.5877717
"72","TANNER","EBS","W166",1996,0.0994532,0.011459065,96.97453,1.3157714
"73","TANNER","EBS","W166",1997,0.1075535,0.016997071,109.00982,1.6688922
"74","TANNER","EBS","W166",1998,0.10965009,0.010176278,96.56976,0.9612042
"75","TANNER","EBS","W166",1999,0.10896689,0.011978555,97.04028,1.1457102
"76","TANNER","EBS","W166",2000,0.10747643,0.006565472,101.04502,0.6455677
"77","TANNER","EBS","W166",2001,0.08348284,0.009101134,102.69035,1.4830962
"78","TANNER","EBS","W166",2002,0.08739327,0.006191974,98.89755,0.9207562
"79","TANNER","EBS","W166",2003,0.09391665,0.006461899,96.00317,0.8320389
"80","TANNER","EBS","W166",2004,0.07591116,0.013755485,107.51432,2.7109011
"81","TANNER","EBS","W166",2005,0.09370716,0.007443469,96.33508,0.962718
"82","TANNER","EBS","W166",2006,0.0782629,0.007735634,101.73233,1.434321
"83","TANNER","EBS","W166",2007,0.06808661,0.010489122,100.44831,2.5693747
"84","TANNER","EBS","W166",2008,0.0799907,0.006552207,96.13253,1.1629807
"85","TANNER","EBS","W166",2009,0.18853612,0.041845601,115.12497,1.2899084
"86","TANNER","EBS","W166",2010,0.09492771,0.008239402,93.75959,1.0384318
"87","TANNER","EBS","W166",2011,0.09126091,0.01654626,104.90362,2.2563121
"88","TANNER","EBS","W166",2012,0.13747134,0.014730791,106.752,0.8844232
"89","TANNER","EBS","W166",2014,0.08065018,0.006333232,98.94461,1.1058109
"90","TANNER","EBS","W166",2016,0.10000898,0.00906101,88.63148,1.0289124
"91","TANNER","EBS","W166",2017,0.09032162,0.007786727,95.62765,1.0840288
"92","TANNER","EBS","W166",2018,0.08867788,0.006808238,90.77233,0.9832737
"93","TANNER","EBS","W166",2019,0.1381093,0.010576945,90.13061,0.6311668
"94","TANNER","EBS","W166",2021,0.09954838,0.007974415,100.22626,0.913932
"95","TANNER","EBS","W166",2022,0.0755762,0.00860374,99.18028,1.7106981
"96","TANNER","EBS","W166",2023,0.09324976,0.005913901,92.01387,0.7724155
"97","TANNER","EBS","W166",2024,0.15842319,0.007187188,100.07305,0.3280627
"98","TANNER","EBS","W166",2025,0.06831216,0.014156823,107.38307,3.4447751
